id,g__coordinates,g__type,description,marker_color,name,stroke
XE6YeYXaaVVIHJCX,"[-78.775948, -0.020569]",Point,"1560 msnm Altitud Altura 2,398 m  Foto 9515 - 9517 2 individuos",red,"29 de mayo de 2026, 12:13",
yrhp1umrjl5OyUee,"[-78.776009, -0.020493]",Point,"Forofito: 2m - 0,70 m  Individuos #: 9  Fotos: 9519 - 9532",red,"29 de mayo de 2026, 12:26",
HdqCcMfM2oJWpNqp,"[-78.775801, -0.019757]",Point,"Altitud: 1572 msnm Altura: 8,517 m  Fotos: 9533 - 9539 Individuos #: 1",red,"29 de mayo de 2026, 13:32",
UEWigEVhlZ4XQobW,"[[-78.776333, -0.021202], [-78.776349, -0.021297], [-78.776238, -0.021252], [-78.776135, -0.021285], [-78.776067, -0.021209], [-78.776071, -0.02104], [-78.776129, -0.020967], [-78.776222, -0.020953], [-78.77622, -0.020853], [-78.776214, -0.02075], [-78.776264, -0.020632], [-78.776262, -0.020488], [-78.776372, -0.020537], [-78.776262, -0.020525], [-78.77623, -0.02061], [-78.776094, -0.020729], [-78.77588, -0.020665], [-78.775984, -0.020491], [-78.776009, -0.020383], [-78.776041, -0.02047], [-78.776053, -0.020297], [-78.776123, -0.02022], [-78.776025, -0.020135], [-78.776072, -0.02028], [-78.775938, -0.020215], [-78.775905, -0.020325], [-78.775826, -0.020274], [-78.775706, -0.020269], [-78.775576, -0.020321], [-78.775518, -0.020466], [-78.77564, -0.020351], [-78.775671, -0.02026], [-78.775811, -0.020328], [-78.775788, -0.020191], [-78.775763, -0.020039], [-78.775773, -0.019939], [-78.775767, -0.01975], [-78.775677, -0.01975], [-78.775786, -0.019714], [-78.775882, -0.019691], [-78.775855, -0.019791], [-78.775807, -0.019696], [-78.775846, -0.019774]]",LineString,,,"29 de mayo de 2026, 13:35",#F06432
